"","parcelid","logerror","transactiondate"
"80733",17277166,0.0109,"2016-09-29"
"80816",12525826,0.0109,"2016-09-29"
"80850",12824192,0.0109,"2016-09-29"
"80883",12996869,0.0109,"2016-09-30"
"80964",11107783,0.0109,"2016-09-30"
"80982",11109745,0.0109,"2016-09-30"
"81058",12379490,0.0109,"2016-09-30"
"81105",11265570,0.0109,"2016-09-30"
"81261",11635397,0.0109,"2016-09-30"
"81283",10720158,0.0109,"2016-09-30"
"81415",10787669,0.0109,"2016-09-30"
"81421",11045865,0.0109,"2016-09-30"
"81574",14060406,0.0109,"2016-09-30"
"81633",17244417,0.0109,"2016-09-30"
"81724",12584901,0.0109,"2016-09-30"
"82034",12996281,0.0109,"2016-10-03"
"82047",14060375,0.0109,"2016-10-03"
"82061",12273451,0.0109,"2016-10-03"
"82080",14061395,0.0109,"2016-10-03"
"82082",14695561,0.0109,"2016-10-03"
"82119",11012745,0.0109,"2016-10-03"
"82143",12751197,0.0109,"2016-10-03"
"82358",12887753,0.0109,"2016-10-04"
"82590",14148031,0.0109,"2016-10-05"
"82746",17135743,0.0109,"2016-10-05"
"82843",11071017,0.0109,"2016-10-05"
"83937",17111342,0.0109,"2016-10-11"
"83984",14169181,0.0109,"2016-10-11"
"84089",14327502,0.0109,"2016-10-11"
"84142",14107914,0.0109,"2016-10-11"
"84182",17299061,0.0109,"2016-10-11"
"84551",14091618,0.0109,"2016-10-12"
"84580",14080835,0.0109,"2016-10-12"
"84587",11735276,0.0109,"2016-10-12"
"84732",12272505,0.0109,"2016-10-13"
"84888",12341270,0.0109,"2016-10-13"
"84946",14080896,0.0109,"2016-10-13"
"84982",14155743,0.0109,"2016-10-13"
"85042",13028814,0.0109,"2016-10-14"
"85130",11888238,0.0109,"2016-10-14"
"85200",14182904,0.0109,"2016-10-14"
"85202",11610980,0.0109,"2016-10-14"
"85221",11635367,0.0109,"2016-10-14"
"85223",11042060,0.0109,"2016-10-14"
"85261",12957995,0.0109,"2016-10-14"
"85323",12719278,0.0109,"2016-10-14"
"85390",14342735,0.0109,"2016-10-14"
"85589",10779768,0.0109,"2016-10-14"
"85759",10714373,0.0109,"2016-10-18"
"85804",14596861,0.0109,"2016-10-18"
"86006",11083470,0.0109,"2016-10-20"
"86015",12933621,0.0109,"2016-10-20"
"86024",14021488,0.0109,"2016-10-21"
"86102",11587340,0.0109,"2016-10-21"
"86164",14667549,0.0109,"2016-10-24"
"86212",10853268,0.0109,"2016-10-25"
"86323",11100128,0.0109,"2016-10-26"
"86455",13913033,0.0109,"2016-10-28"
"86807",12949673,0.0109,"2016-11-01"
"86811",11116373,0.0109,"2016-11-01"
"86944",12296853,0.0109,"2016-11-03"
"86991",13924974,0.0109,"2016-11-04"
"87056",12920339,0.0109,"2016-11-04"
"87225",12138413,0.0109,"2016-11-08"
"87447",11143017,0.0109,"2016-11-13"
"87489",14718301,0.0109,"2016-11-14"
"87667",12135446,0.0109,"2016-11-16"
"87816",10721355,0.0109,"2016-11-17"
"88008",11194289,0.0109,"2016-11-22"
"88061",10784529,0.0109,"2016-11-22"
"88065",11320174,0.0109,"2016-11-22"
"88143",12570258,0.0109,"2016-11-23"
"88195",11017374,0.0109,"2016-11-23"
"88566",14721123,0.0109,"2016-12-01"
"88610",14125273,0.0109,"2016-12-01"
"88641",14417954,0.0109,"2016-12-01"
"88832",13045060,0.0109,"2016-12-06"
"89077",11128417,0.0109,"2016-12-09"
"89289",12625875,0.0109,"2016-12-14"
"89296",12894815,0.0109,"2016-12-14"
"89465",10980044,0.0109,"2016-12-16"
"89616",12066016,0.0109,"2016-12-20"
"89813",13021187,0.0109,"2016-12-22"
"89850",14137869,0.0109,"2016-12-23"
"89896",12856293,0.0109,"2016-12-23"
"89935",14134772,0.0109,"2016-12-26"
"90033",11740935,0.0109,"2016-12-28"
"90238",12139143,0.0109,"2016-12-30"
"165",13914106,0.0119,"2016-01-04"
"192",17267250,0.0119,"2016-01-04"
"361",12869822,0.0119,"2016-01-05"
"453",12860573,0.0119,"2016-01-05"
"520",13088597,0.0119,"2016-01-05"
"616",10833932,0.0119,"2016-01-06"
"665",11194389,0.0119,"2016-01-06"
"670",12529831,0.0119,"2016-01-06"
"710",11609388,0.0119,"2016-01-06"
"746",12671961,0.0119,"2016-01-06"
"787",12968167,0.0119,"2016-01-06"
"1040",11288250,0.0119,"2016-01-07"
"1082",12634022,0.0119,"2016-01-07"
"1089",12458024,0.0119,"2016-01-07"
"1173",14497680,0.0119,"2016-01-07"
"1435",10797756,0.0119,"2016-01-08"
"1437",13851157,0.0119,"2016-01-08"
"1469",13836126,0.0119,"2016-01-08"
"1777",10849524,0.0119,"2016-01-11"
"1883",12001100,0.0119,"2016-01-12"
"1886",11631325,0.0119,"2016-01-12"
"2171",13849509,0.0119,"2016-01-13"
"2208",12591076,0.0119,"2016-01-13"
"2245",11230482,0.0119,"2016-06-10"
"2444",13997922,0.0119,"2016-01-14"
"2465",14209590,0.0119,"2016-01-14"
"2527",11538987,0.0119,"2016-01-14"
"2639",11466695,0.0119,"2016-01-14"
"2800",17285741,0.0119,"2016-01-15"
"3041",12792736,0.0119,"2016-01-15"
"3066",14120273,0.0119,"2016-01-15"
"3209",17089122,0.0119,"2016-01-18"
"3253",12982573,0.0119,"2016-01-18"
"3385",14713469,0.0119,"2016-01-19"
"3603",11611276,0.0119,"2016-01-20"
"3934",10862714,0.0119,"2016-01-21"
"3981",14734559,0.0119,"2016-01-21"
"4123",14244124,0.0119,"2016-01-21"
"4336",12398067,0.0119,"2016-01-22"
"4348",14058610,0.0119,"2016-01-22"
"4399",12951378,0.0119,"2016-01-22"
"4588",10914118,0.0119,"2016-01-23"
"4713",11872544,0.0119,"2016-01-25"
"4770",13074615,0.0119,"2016-01-25"
"4816",11108409,0.0119,"2016-01-25"
"4882",11794840,0.0119,"2016-01-25"
"4896",10936036,0.0119,"2016-01-26"
"4961",13029243,0.0119,"2016-01-26"
"5079",11188348,0.0119,"2016-01-26"
"5411",14213313,0.0119,"2016-01-27"
"5679",14018957,0.0119,"2016-01-28"
"5734",17188769,0.0119,"2016-01-28"
"5772",11824235,0.0119,"2016-01-28"
"5854",14625587,0.0119,"2016-01-28"
"5880",14426107,0.0119,"2016-01-28"
"5940",11128432,0.0119,"2016-01-28"
"6144",12138702,0.0119,"2016-01-29"
"6176",14600841,0.0119,"2016-01-29"
"6177",11786408,0.0119,"2016-01-29"
"6393",13102126,0.0119,"2016-01-29"
"6462",14530962,0.0119,"2016-01-29"
"6581",12744446,0.0119,"2016-01-31"
"6663",14195633,0.0119,"2016-02-01"
"6780",12741452,0.0119,"2016-02-01"
"7142",12892278,0.0119,"2016-02-03"
"7151",11135754,0.0119,"2016-02-03"
"7207",11904089,0.0119,"2016-02-03"
"7508",14631627,0.0119,"2016-02-04"
"7555",11277985,0.0119,"2016-02-04"
"7841",11966799,0.0119,"2016-02-05"
"8267",11632188,0.0119,"2016-02-09"
"8290",17223650,0.0119,"2016-02-09"
"8722",14637985,0.0119,"2016-02-10"
"8786",11572774,0.0119,"2016-02-11"
"8799",11342259,0.0119,"2016-02-11"
"8909",12964941,0.0119,"2016-02-11"
"8912",11580196,0.0119,"2016-02-11"
"8951",14614720,0.0119,"2016-02-11"
"9264",11200553,0.0119,"2016-02-12"
"9275",11127609,0.0119,"2016-02-12"
"9390",11871948,0.0119,"2016-02-16"
"9440",14388362,0.0119,"2016-02-16"
"9575",11132412,0.0119,"2016-02-16"
"10202",11446306,0.0119,"2016-02-18"
"10206",11692282,0.0119,"2016-02-18"
"10437",10834185,0.0119,"2016-02-19"
"10438",17112908,0.0119,"2016-02-19"
"10756",14385635,0.0119,"2016-02-22"
"10914",14717741,0.0119,"2016-02-22"
"11175",14645580,0.0119,"2016-02-23"
"11440",11860602,0.0119,"2016-02-24"
"11688",14617855,0.0119,"2016-02-25"
"11927",14720771,0.0119,"2016-02-25"
"11961",10886178,0.0119,"2016-02-25"
"12023",12536581,0.0119,"2016-02-26"
"12086",17232339,0.0119,"2016-02-26"
"12117",13027389,0.0119,"2016-02-26"
"12143",13022683,0.0119,"2016-02-26"
"12147",11263628,0.0119,"2016-02-26"
"12216",12641747,0.0119,"2016-02-26"
"12284",14248107,0.0119,"2016-02-26"
"12570",14091954,0.0119,"2016-02-29"
"12723",17094862,0.0119,"2016-02-29"
"12829",11858736,0.0119,"2016-02-29"
"12845",10794035,0.0119,"2016-02-29"
"12949",11756839,0.0119,"2016-03-01"
"13118",11050212,0.0119,"2016-03-01"
"13439",11313169,0.0119,"2016-03-02"
"13632",14730808,0.0119,"2016-03-02"
"13718",14601007,0.0119,"2016-03-03"
"13801",14645980,0.0119,"2016-03-03"
"13805",14652426,0.0119,"2016-03-03"
"13826",11098210,0.0119,"2016-03-03"
"14152",14466689,0.0119,"2016-03-04"
"14164",11513334,0.0119,"2016-03-04"
"14195",11967633,0.0119,"2016-03-04"
"14213",11658088,0.0119,"2016-03-04"
"14350",10802957,0.0119,"2016-03-06"
"14391",14613740,0.0119,"2016-03-07"
"14697",13958489,0.0119,"2016-03-08"
"14822",14430418,0.0119,"2016-03-08"
"14920",10937928,0.0119,"2016-03-08"
"15055",12341793,0.0119,"2016-03-09"
"15069",11038272,0.0119,"2016-03-09"
"15097",11290369,0.0119,"2016-03-09"
"15120",10868446,0.0119,"2016-03-09"
"15157",12440558,0.0119,"2016-03-09"
"15179",17244889,0.0119,"2016-03-09"
"15272",12042931,0.0119,"2016-03-09"
"15290",13004977,0.0119,"2016-03-09"
"15344",11324747,0.0119,"2016-03-10"
"15371",12669166,0.0119,"2016-03-10"
"15572",10835395,0.0119,"2016-03-10"
"15578",17193280,0.0119,"2016-03-10"
"15608",10851112,0.0119,"2016-03-10"
"16091",11153629,0.0119,"2016-03-14"
"16151",12342028,0.0119,"2016-03-14"
"16188",14673267,0.0119,"2016-03-14"
"16305",14711208,0.0119,"2016-03-15"
"16534",12623814,0.0119,"2016-03-15"
"16569",11850918,0.0119,"2016-03-15"
"16836",12885791,0.0119,"2016-03-16"
"16848",14636847,0.0119,"2016-03-16"
"16914",14641842,0.0119,"2016-03-16"
"17004",12237012,0.0119,"2016-03-16"
"17278",14484140,0.0119,"2016-03-17"
"17483",12842796,0.0119,"2016-03-18"
"17518",11543303,0.0119,"2016-03-18"
"17729",10833407,0.0119,"2016-03-18"
"17849",12303694,0.0119,"2016-03-18"
"17915",14194571,0.0119,"2016-03-21"
"18232",12684492,0.0119,"2016-03-22"
"18418",11451560,0.0119,"2016-03-22"
"18632",12926367,0.0119,"2016-03-23"
"18717",14671980,0.0119,"2016-03-23"
"19020",13882217,0.0119,"2016-03-24"
"19119",11089401,0.0119,"2016-03-24"
"19132",11117718,0.0119,"2016-03-24"
"19360",11429823,0.0119,"2016-03-25"
"19454",10852895,0.0119,"2016-03-25"
"19530",10828873,0.0119,"2016-03-25"
"19796",14727417,0.0119,"2016-03-28"
"19826",10904466,0.0119,"2016-03-28"
"19953",17226031,0.0119,"2016-03-28"
"20080",12779192,0.0119,"2016-03-29"
"20113",13925263,0.0119,"2016-03-29"
"20131",17277112,0.0119,"2016-03-29"
"20227",14053802,0.0119,"2016-03-29"
"20231",11047586,0.0119,"2016-03-29"
"20386",12545510,0.0119,"2016-03-29"
"20732",17153115,0.0119,"2016-03-30"
"20778",17090908,0.0119,"2016-03-30"
"20998",11423962,0.0119,"2016-03-31"
"21030",12353996,0.0119,"2016-03-31"
"21205",17263175,0.0119,"2016-03-31"
"21264",12151483,0.0119,"2016-03-31"
"21349",14203727,0.0119,"2016-03-31"
"21488",14710205,0.0119,"2016-03-31"
"21571",11322097,0.0119,"2016-03-31"
"21726",12660779,0.0119,"2016-04-01"
"21754",14335295,0.0119,"2016-04-01"
"21775",11816006,0.0119,"2016-04-01"
"21801",12942541,0.0119,"2016-04-01"
"21967",14715555,0.0119,"2016-04-01"
"22169",11595909,0.0119,"2016-04-01"
"22202",11013309,0.0119,"2016-04-04"
"22321",10828713,0.0119,"2016-04-04"
"22493",12651783,0.0119,"2016-04-05"
"22650",14603009,0.0119,"2016-04-05"
"22783",12644687,0.0119,"2016-04-05"
"22846",12937721,0.0119,"2016-04-06"
"22858",10751145,0.0119,"2016-04-06"
"22920",14707481,0.0119,"2016-04-06"
"23044",12155666,0.0119,"2016-04-06"
"23297",17156926,0.0119,"2016-04-07"
"23353",13039373,0.0119,"2016-04-07"
"23361",12530383,0.0119,"2016-04-07"
"23485",13040619,0.0119,"2016-04-07"
"23621",12468314,0.0119,"2016-04-08"
"23800",12654188,0.0119,"2016-04-08"
"23893",17135553,0.0119,"2016-04-08"
"23918",12102453,0.0119,"2016-04-08"
"24288",14169205,0.0119,"2016-04-11"
"24322",10799036,0.0119,"2016-04-11"
"24678",11063829,0.0119,"2016-04-12"
"24690",12814123,0.0119,"2016-04-12"
"24889",17091792,0.0119,"2016-04-13"
"24987",11109849,0.0119,"2016-04-13"
"24995",11270191,0.0119,"2016-04-13"
"25037",10942791,0.0119,"2016-04-13"
"25090",11464299,0.0119,"2016-04-13"
"25225",11189588,0.0119,"2016-04-14"
"25641",11139444,0.0119,"2016-04-15"
"25703",14060174,0.0119,"2016-04-15"
"25736",11684212,0.0119,"2016-04-15"
"25769",12924082,0.0119,"2016-04-15"
"25906",11003113,0.0119,"2016-04-15"
"25964",12038509,0.0119,"2016-04-15"
"26089",12964898,0.0119,"2016-04-15"
"26093",17209982,0.0119,"2016-04-15"
"26233",11427845,0.0119,"2016-04-18"
"26343",14724562,0.0119,"2016-04-18"
"26401",14645508,0.0119,"2016-04-18"
"26663",13926099,0.0119,"2016-04-19"
"26777",14622953,0.0119,"2016-04-19"
"26783",12859437,0.0119,"2016-04-19"
"26961",14103835,0.0119,"2016-04-20"
"27141",17164250,0.0119,"2016-04-20"
"27354",13007349,0.0119,"2016-04-21"
"27369",14304322,0.0119,"2016-04-21"
"27782",11138001,0.0119,"2016-04-22"
"27839",10961084,0.0119,"2016-04-22"
"27841",12502984,0.0119,"2016-04-22"
"27953",12106137,0.0119,"2016-04-22"
"28062",14723814,0.0119,"2016-04-22"
"28113",14629165,0.0119,"2016-04-22"
"28137",13019185,0.0119,"2016-04-22"
"28329",14459348,0.0119,"2016-04-25"
"28614",14453742,0.0119,"2016-04-26"
"28633",14045776,0.0119,"2016-04-26"
"28662",12759263,0.0119,"2016-04-26"
"28931",11145404,0.0119,"2016-04-26"
"29088",13036569,0.0119,"2016-04-27"
"29172",12494713,0.0119,"2016-04-27"
"29180",12926543,0.0119,"2016-04-27"
"29270",11199154,0.0119,"2016-04-27"
"29447",10804146,0.0119,"2016-04-27"
"29452",14237824,0.0119,"2016-04-27"
"29602",12681322,0.0119,"2016-04-28"
"29735",12850788,0.0119,"2016-04-28"
"29757",11175423,0.0119,"2016-04-28"
"30006",14671447,0.0119,"2016-04-28"
"30062",13075651,0.0119,"2016-04-29"
"30205",11063320,0.0119,"2016-04-29"
"30267",12212205,0.0119,"2016-04-29"
"30495",14334589,0.0119,"2016-04-29"
"30950",14139710,0.0119,"2016-05-01"
"31340",11712295,0.0119,"2016-05-02"
"31382",12479770,0.0119,"2016-05-03"
"31409",10814944,0.0119,"2016-05-03"
"31476",11317931,0.0119,"2016-05-03"
"31680",11147159,0.0119,"2016-05-03"
"31865",14094648,0.0119,"2016-05-04"
"31888",17194095,0.0119,"2016-05-04"
"31933",11590859,0.0119,"2016-05-04"
"32030",10802355,0.0119,"2016-05-04"
"32134",17159479,0.0119,"2016-05-04"
"32240",12879810,0.0119,"2016-05-05"
"32276",13977926,0.0119,"2016-05-05"
"32503",14198232,0.0119,"2016-05-05"
"32516",14719572,0.0119,"2016-05-05"
"32576",13045605,0.0119,"2016-05-05"
"32746",11168941,0.0119,"2016-05-06"
"32763",12753517,0.0119,"2016-05-06"
"32799",12663700,0.0119,"2016-05-06"
"32888",11477547,0.0119,"2016-05-06"
"33166",12808850,0.0119,"2016-05-09"
"33230",14096150,0.0119,"2016-05-09"
"33263",13963558,0.0119,"2016-05-09"
"33271",17076907,0.0119,"2016-05-09"
"33274",17207192,0.0119,"2016-05-09"
"33369",17155630,0.0119,"2016-05-09"
"33383",10785891,0.0119,"2016-05-09"
"33417",14196576,0.0119,"2016-05-09"
"33716",12178460,0.0119,"2016-05-10"
"33928",12502673,0.0119,"2016-05-11"
"34132",10897491,0.0119,"2016-05-11"
"34379",17063301,0.0119,"2016-05-12"
"34450",12772172,0.0119,"2016-05-12"
"34486",14506284,0.0119,"2016-05-12"
"34696",14626973,0.0119,"2016-05-12"
"34830",12797055,0.0119,"2016-05-13"
"35122",11308548,0.0119,"2016-05-13"
"35164",11646704,0.0119,"2016-05-13"
"35175",11657731,0.0119,"2016-05-13"
"35196",10851413,0.0119,"2016-05-13"
"35200",11619467,0.0119,"2016-05-13"
"35418",12483454,0.0119,"2016-05-16"
"35663",13061259,0.0119,"2016-05-17"
"35894",17150056,0.0119,"2016-05-17"
"35915",11736961,0.0119,"2016-05-17"
"36020",11124752,0.0119,"2016-05-17"
"36025",14219863,0.0119,"2016-05-17"
"36347",11077848,0.0119,"2016-05-18"
"36668",17290872,0.0119,"2016-05-19"
"36702",14461006,0.0119,"2016-05-19"
"36869",14013679,0.0119,"2016-05-19"
"36934",17289432,0.0119,"2016-05-19"
"37104",12928554,0.0119,"2016-05-20"
"37221",14043933,0.0119,"2016-05-20"
"37257",12881799,0.0119,"2016-05-20"
"37274",12554594,0.0119,"2016-05-20"
"37275",12719106,0.0119,"2016-05-20"
"37316",17253144,0.0119,"2016-05-20"
"37449",14682991,0.0119,"2016-05-20"
"37478",17276977,0.0119,"2016-05-20"
"37526",13886699,0.0119,"2016-05-20"
"37822",14675622,0.0119,"2016-05-23"
"38259",11141363,0.0119,"2016-05-24"
"38682",12751642,0.0119,"2016-05-25"
"39104",11014512,0.0119,"2016-05-26"
"39118",11654417,0.0119,"2016-05-26"
"39157",12509213,0.0119,"2016-05-26"
"39621",14455563,0.0119,"2016-05-27"
"39732",13992095,0.0119,"2016-05-27"
"39890",11024492,0.0119,"2016-05-27"
"39952",10851558,0.0119,"2016-05-27"
"40180",11199175,0.0119,"2016-05-27"
"40323",12854315,0.0119,"2016-05-27"
"40379",14703498,0.0119,"2016-05-31"
"40513",12514608,0.0119,"2016-05-31"
"40550",17216752,0.0119,"2016-05-31"
"40616",12706428,0.0119,"2016-05-31"
"40963",12863546,0.0119,"2016-06-01"
"41054",12885891,0.0119,"2016-06-01"
"41144",14220288,0.0119,"2016-06-01"
"41156",11625452,0.0119,"2016-06-01"
"41223",13042194,0.0119,"2016-06-01"
"41263",11214486,0.0119,"2016-06-01"
"41478",14705062,0.0119,"2016-06-01"
"41561",14625252,0.0119,"2016-06-02"
"41592",12855379,0.0119,"2016-06-02"
"42041",13039931,0.0119,"2016-06-03"
"42086",17142249,0.0119,"2016-06-03"
"42203",11559457,0.0119,"2016-06-03"
"42327",12607506,0.0119,"2016-06-03"
"42409",11388499,0.0119,"2016-06-03"
"42414",14370995,0.0119,"2016-06-03"
"42482",14462477,0.0119,"2016-06-03"
"42556",11283110,0.0119,"2016-06-06"
"42793",11483292,0.0119,"2016-06-06"
"42805",11915437,0.0119,"2016-06-06"
"42998",11114104,0.0119,"2016-06-07"
"43032",10850533,0.0119,"2016-06-07"
"43059",17207056,0.0119,"2016-06-07"
"43091",12471611,0.0119,"2016-06-07"
"43214",11713849,0.0119,"2016-06-07"
"43252",11723908,0.0119,"2016-06-07"
"43326",11004515,0.0119,"2016-06-08"
"43329",14506173,0.0119,"2016-06-08"
"43447",14463356,0.0119,"2016-06-08"
"43576",17223186,0.0119,"2016-06-08"
"43688",10722417,0.0119,"2016-06-09"
"43804",11348058,0.0119,"2016-06-09"
"43826",12094046,0.0119,"2016-06-09"
"43975",14399521,0.0119,"2016-06-09"
"44057",12448543,0.0119,"2016-06-09"
"44134",17219652,0.0119,"2016-06-10"
"44199",11879925,0.0119,"2016-06-10"
"44330",11128705,0.0119,"2016-06-10"
"44573",17112469,0.0119,"2016-06-10"
"44652",12194879,0.0119,"2016-06-10"
"45112",12458070,0.0119,"2016-06-14"
"45213",10959790,0.0119,"2016-06-14"
"45458",12653173,0.0119,"2016-06-14"
"45663",11794055,0.0119,"2016-06-15"
"45747",14388289,0.0119,"2016-06-15"
"45880",13983344,0.0119,"2016-06-15"
"45911",17100816,0.0119,"2016-06-15"
"45954",14286117,0.0119,"2016-06-15"
"46110",12680664,0.0119,"2016-06-16"
"46216",12428001,0.0119,"2016-06-16"
"46254",12859463,0.0119,"2016-06-16"
"46304",14694529,0.0119,"2016-06-16"
"46390",14405916,0.0119,"2016-06-16"
"46421",14497801,0.0119,"2016-06-16"
"46443",13088369,0.0119,"2016-06-16"
"46530",14261090,0.0119,"2016-06-17"
"46534",11169533,0.0119,"2016-06-17"
"46621",14235179,0.0119,"2016-06-17"
"46643",14206403,0.0119,"2016-06-17"
"46680",14500118,0.0119,"2016-06-17"
"46692",14736477,0.0119,"2016-06-17"
"46696",12895624,0.0119,"2016-06-17"
"47029",14383103,0.0119,"2016-06-17"
"47050",14605679,0.0119,"2016-06-17"
"47080",12556412,0.0119,"2016-06-17"
"47144",10974642,0.0119,"2016-06-20"
"47329",11161309,0.0119,"2016-06-20"
"47375",11047276,0.0119,"2016-06-20"
"47535",10777916,0.0119,"2016-06-21"
"47634",17221038,0.0119,"2016-06-21"
"47669",14475713,0.0119,"2016-06-21"
"47792",17176454,0.0119,"2016-06-21"
"47847",13990119,0.0119,"2016-06-21"
"47911",17057427,0.0119,"2016-06-21"
"47982",11887738,0.0119,"2016-06-21"
"48077",14481734,0.0119,"2016-06-22"
"48263",10847905,0.0119,"2016-06-22"
"48297",12676717,0.0119,"2016-06-22"
"48313",11664756,0.0119,"2016-06-22"
